lsoa11cd,NO2,NOx,PM10,PM25
E01010568,14.00834,19.06291,11.65315,8.089679
E01010569,12.51269,16.81909,11.10992,7.711837
E01010570,12.21732,16.40802,10.94032,7.581943
E01010571,14.00834,19.06291,11.65315,8.089679
E01010572,14.00834,19.06291,11.65315,8.089679
E01010573,10.58721,13.98116,10.36007,7.161535
E01010574,12.13926,16.24515,11.14462,7.69992
E01010575,12.13926,16.24515,11.14462,7.69992
E01010576,12.72932,17.1199,11.21403,7.679034
E01010577,12.13926,16.24515,11.14462,7.69992
E01010578,12.04975,16.0531,10.44833,7.129642
E01010579,11.58432,15.39155,10.44833,7.134319
E01010580,10.19569,13.40362,10.24801,6.996397
E01010581,12.75897,17.12911,11.28966,7.582949
E01010582,11.58432,15.39155,11.06699,7.493682
E01010583,12.21732,16.40802,10.94032,7.581943
E01010584,11.58432,15.39155,11.06699,7.493682
E01010585,12.04975,16.0531,10.44833,7.129642
E01010586,8.437884,10.9245,9.692298,6.652216
E01010587,9.112319,11.87213,10.36493,6.953712
E01010588,11.45302,15.21709,10.93421,7.494523
E01010589,8.919529,11.60655,10.23714,6.930473
E01010590,9.430217,12.33431,10.90128,7.455141
E01010591,10.98127,14.54255,10.93421,7.4526425
E01010592,8.355241,10.8136,9.945831,6.794297
E01010593,9.112319,11.87213,10.36493,6.953712
E01010594,8.153831,10.52068,9.827818,6.660205
E01010595,8.260883,10.67528,9.843048,6.667891
E01010596,11.45302,15.21709,10.93421,7.494523
E01010597,15.14436,20.85259,13.2498,9.147468
E01010598,15.99016,22.1953,13.67916,9.648397
E01010599,15.14436,20.85259,13.2498,9.147468
E01010600,15.14436,20.85259,13.2498,9.147468
E01010601,15.99016,22.1953,13.67916,9.648397
E01010602,15.14436,20.85259,13.2498,9.147468
E01010603,14.09978,19.23159,13.58168,9.169024
E01010604,14.72117,20.20874,13.19363,9.198519
E01010605,14.72117,20.20874,13.19363,9.198519
E01010606,19.50777,27.98285,13.98675,9.638295
E01010607,19.50777,27.98285,13.98675,9.638295
E01010608,22.59054,33.70291,13.79704,9.375443
E01010609,20.33464,29.571109999999997,13.70899,9.363983000000001
E01010610,20.07334,29.16537,13.62094,9.352523
E01010611,20.07334,29.16537,13.62094,9.352523
E01010612,15.88659,22.05534,12.43834,8.566122
E01010613,22.59054,33.70291,13.79704,9.375443
E01010614,19.08369,27.30102,13.60825,9.326713
E01010615,19.53231,27.96034,13.91351,9.467514
E01010616,21.17958,30.7923,14.88564,10.09429
E01010617,19.50777,27.98285,13.98675,9.638295
E01010618,19.57135,28.18035,14.40355,10.04492
E01010619,19.57135,28.18035,14.40355,10.04492
E01010620,19.57135,28.18035,14.40355,10.04492
E01010621,19.57135,28.18035,14.40355,10.04492
E01010622,19.57135,28.18035,14.40355,10.04492
E01010623,19.57135,28.18035,14.40355,10.04492
E01010624,19.57135,28.18035,14.40355,10.04492
E01010625,17.10436,23.99666,13.65108,9.562812
E01010626,17.10436,23.99666,13.65108,9.562812
E01010627,18.337854999999998,26.088504999999998,14.027315,9.803866
E01010628,12.85427,17.30947,11.95197,8.233996
E01010629,12.85427,17.30947,11.95197,8.233996
E01010630,17.17694,24.28406,12.90752,9.088804
E01010631,12.85427,17.30947,11.95197,8.233996
E01010632,12.85427,17.30947,11.95197,8.233996
E01010633,11.91195,15.9292,11.57521,7.91599
E01010634,11.39727,15.16269,11.79216,7.863366
E01010635,12.75385,17.19888,11.95347,8.264216
E01010636,11.39727,15.16269,11.79216,7.863366
E01010637,12.75385,17.19888,11.95347,8.264216
E01010638,7.731264,9.944941,9.5736,6.64547
E01010639,8.789175,11.41486,9.821254,6.828351
E01010640,7.731264,9.944941,9.5736,6.64547
E01010641,7.731264,9.944941,9.5736,6.64547
E01010642,7.946381,10.23989,9.32563,6.428344
E01010643,9.144373,11.89161,9.723486,6.673856
E01010644,8.580558,11.11529,9.421101,6.4637
E01010645,9.144373,11.89161,9.723486,6.673856
E01010646,6.541068,8.314377,9.066139,6.2062
E01010647,6.79915,8.662657,9.313576,6.328504
E01010648,6.492744,8.248082,9.272113,6.233708
E01010649,17.17053,24.15811,13.73627,9.444062
E01010650,17.17053,24.15811,13.73627,9.444062
E01010651,17.17053,24.15811,13.73627,9.444062
E01010652,15.99016,22.1953,13.67916,9.444062
E01010653,15.58703,21.52676,13.31848,9.360257
E01010654,15.58703,21.52676,13.31848,9.360257
E01010655,14.72117,20.20874,13.19363,9.198519
E01010656,14.72117,20.20874,13.19363,9.198519
E01010657,15.58703,21.52676,13.31848,9.360257
E01010658,16.58901,23.18405,12.90752,9.088804
E01010659,13.5571,18.41646,12.35165,8.600562
E01010662,14.44548,19.77817,12.72225,8.895756
E01010663,16.56007,23.10561,13.86487,9.81331
E01010664,14.44548,19.77817,12.72225,8.895756
E01010665,14.44548,19.77817,12.72225,8.895756
E01010666,16.56007,23.10561,13.86487,9.81331
E01010667,16.56007,23.10561,13.86487,9.81331
E01010668,14.13638,19.28479,12.6408,8.830769
E01010669,12.34939,16.58138,11.97166,8.176095
E01010670,14.18424,19.3629,12.11344,8.377171
E01010671,13.34654,18.0776,11.77139,8.075202
E01010672,10.76137,14.22612,11.07379,7.462657
E01010673,14.18424,19.3629,12.11344,8.377171
E01010674,12.34939,16.58138,11.97166,8.176095
E01010675,13.34654,18.0776,11.77139,8.075202
E01010676,16.99669,23.84586,13.83558,9.665033
E01010677,12.34939,16.58138,11.97166,8.176095
E01010678,10.76435,14.23781,11.09179,7.608522
E01010679,17.98631,25.43369,13.23538,9.077589
E01010680,15.65087,21.65462,12.71281,8.822833
E01010681,14.69565,20.1965,12.52328,8.572978
E01010682,15.65087,21.65462,12.71281,8.822833
E01010683,15.49504,21.39089,11.99527,8.282466
E01010684,14.26087,19.46112,12.06701,8.312811
E01010685,13.09701,17.71021,11.24939,7.774072
E01010686,14.26087,19.46112,12.06701,8.312811
E01010687,14.26087,19.46112,12.23758,8.416923
E01010688,14.69565,20.1965,12.52328,8.572978
E01010689,15.58703,21.52676,12.71281,8.822833
E01010690,14.69565,20.1965,12.52328,8.572978
E01010691,9.601811,12.55806,9.78075,6.742923
E01010692,10.12098,13.27174,9.815778,6.71828
E01010693,8.13636,10.48539,9.359032,6.422726
E01010694,7.578412,9.728288,9.158781,6.31994
E01010695,10.12098,13.27174,9.815778,6.71828
E01010696,8.315922,10.74202,9.696747,6.563476
E01010697,10.12098,13.27174,9.815778,6.71828
E01010698,9.601811,12.55806,9.78075,6.71828
E01010699,8.315922,10.74202,9.696747,6.563476
E01010700,15.64714,21.63356,12.03844,8.472118
E01010701,15.64714,21.63356,12.03844,8.472118
E01010702,15.64714,21.63356,12.03844,8.472118
E01010703,11.3867,15.13288,10.91163,7.604046
E01010704,11.16869,14.82927,10.74297,7.512112
E01010705,9.373968,12.23446,10.39287,7.176806
E01010706,8.423502,10.90214,9.701693,6.654539
E01010707,11.3867,15.13288,10.91163,7.667196
E01010708,11.3867,15.13288,10.91163,7.667196
E01010709,9.680868,12.67171,10.13469,7.007618
E01010710,12.64042,16.99228,12.03844,8.472118
E01010711,12.64042,16.99228,12.16287,8.709629
E01010712,12.64042,16.99228,12.16287,8.709629
E01010713,11.16869,14.82927,10.74297,7.512112
E01010714,12.64042,16.99228,12.16287,8.709629
E01010715,8.762659,11.36703,10.17155,7.049509
E01010716,10.50294,13.84428,11.27867,7.900194
E01010717,10.50294,13.84428,11.27867,7.900194
E01010718,8.762659,11.36703,10.17155,7.049509
E01010719,11.05897,14.65628,11.6582,8.310328
E01010720,8.293097,10.71331,10.49477,7.292204
E01010721,8.293097,10.71331,10.49477,7.292204
E01010722,6.807668,8.683621,9.481066,6.429292
E01010723,11.05897,14.65628,11.6582,8.310328
E01010724,8.831427,11.46379,10.40624,7.306054
E01010725,12.64042,16.99228,12.16287,8.709629
E01010726,8.831427,11.46379,10.40624,7.306054
E01010727,9.914714,12.98684,10.39481,7.1652
E01010728,11.05897,14.65628,11.6582,8.310328
E01010729,9.914714,12.98684,10.39481,7.1652
E01010730,23.76262,35.51382,14.1627,9.55955
E01010731,18.64179,26.63014,13.15189,9.059284
E01010732,23.64153,35.99446,14.5964,10.14278
E01010733,18.6952,26.62904,14.38541,10.01937
E01010734,20.59594,29.97685,14.49807,10.03171
E01010735,17.627634999999998,24.867325,14.12514,9.91634
E01010736,23.64153,35.99446,14.5964,10.14278
E01010737,23.64153,35.99446,14.5964,10.14278
E01010738,18.6952,26.62904,14.38541,10.01937
E01010739,18.6952,26.62904,14.38541,10.01937
E01010740,18.6952,26.62904,14.38541,10.01937
E01010741,16.48783,23.05637,12.76529,8.913569
E01010742,23.64153,35.99446,14.5964,10.14278
E01010743,21.17958,30.7923,14.88564,10.09429
E01010744,18.87288,26.83886,14.57089,10.21045
E01010745,18.87288,26.83886,14.57089,10.21045
E01010746,18.39374,26.12378,13.30094,9.310721
E01010747,18.87288,26.83886,14.57089,10.21045
E01010748,17.20343,24.1088,13.30094,9.310721
E01010749,17.20343,24.1088,13.30094,9.310721
E01010750,17.20343,24.1088,13.06269,8.925901
E01010751,17.20343,24.1088,13.30094,9.310721
E01010752,12.42293,16.66544,13.28079,8.409013
E01010753,10.83685,14.33019,12.75269,7.921766
E01010754,10.83685,14.33019,12.75269,7.921766
E01010755,13.699075,18.605565,12.493555,8.623248
E01010756,12.42293,16.66544,13.28079,8.409013
E01010758,11.59893,15.43974,12.26632,7.863912
E01010759,11.20605,14.86215,12.31334,7.863912
E01010760,11.59893,15.43974,12.26632,7.863912
E01010761,13.26177,17.92634,12.48003,8.599561
E01010762,14.13638,19.28479,12.6408,8.830769
E01010763,14.13638,19.28479,12.6408,8.830769
E01010764,9.384866,12.2479,9.923181,6.824821
E01010765,11.47325,15.21573,10.43612,7.134319
E01010766,9.789694,12.81703,10.0682,6.882628
E01010767,9.434155,12.28839,10.17049,7.008785
E01010768,9.434155,12.28839,10.17049,7.008785
E01010769,9.434155,12.28839,10.17049,7.008785
E01010770,8.135025,10.50212,9.65279,6.571532
E01010771,8.548873,11.0669,9.749976,6.718509
E01010772,9.566224,12.48406,9.998917,6.820192
E01010773,10.33236,13.57733,10.25812,6.996232
E01010774,8.482403,10.98467,10.04517,6.762146
E01010775,14.09978,19.23159,13.58168,9.169024
E01010776,14.90131,20.42869,12.81662,8.902747
E01010777,14.90131,20.42869,12.81662,8.902747
E01010778,14.90131,20.42869,12.953230000000001,8.902747
E01010779,15.69081,21.7191,12.23758,8.416923
E01010781,13.81171,18.78351,12.23758,8.416923
E01010782,15.69081,21.7191,12.27812,8.509601
E01010783,14.09978,19.23159,12.81662,8.902747
E01010784,14.75159,20.18604,11.98451,8.225445
E01010785,14.75159,20.18604,11.98451,8.225445
E01010786,14.75159,20.18604,11.98451,8.225445
E01010787,14.75159,20.18604,12.011700000000001,8.2423505
E01010788,17.19898,24.09378,12.57611,8.603889
E01010789,13.97978,19.00824,12.03889,8.259256
E01010790,13.20773,17.80517,11.40806,7.66398
E01010791,13.97978,19.00824,12.03889,8.259256
E01010792,14.18424,19.3629,12.11344,8.377171
E01010793,14.90131,20.42869,12.81662,8.876706
E01010794,11.4566,15.22772,11.2419,7.571388
E01010795,9.518548,12.41734,10.51952,7.054507
E01010796,10.74017,14.17704,10.98514,7.481398
E01010797,9.181295,11.97338,10.51952,7.054507
E01010798,10.0488,13.18873,10.63169,7.257687
E01010799,10.76435,14.23781,11.09179,7.608522
E01010800,10.83848,14.33979,11.2419,7.571388
E01010801,12.15297,16.29739,11.66986,7.94987
E01010802,10.83848,14.33979,11.2419,7.571388
E01010803,17.17694,24.28406,12.90752,9.088804
E01010804,15.22731,21.03576,12.32204,8.559782
E01010805,12.15297,16.29739,11.66986,7.94987
E01010806,15.22731,21.03576,12.32204,8.559782
E01010807,16.99669,23.84586,13.83558,9.665033
E01010808,16.99669,23.84586,13.83558,9.665033
E01010809,16.99669,23.84586,13.83558,9.665033
E01010810,15.22731,21.03576,12.32204,8.559782
E01010811,16.99669,23.84586,13.83558,9.665033
E01010812,17.97316,25.53573,13.24495,9.114183
E01010813,17.97316,25.53573,13.24495,9.114183
E01010814,16.70982,23.36039,12.89886,8.855793
E01010815,20.02268,29.01816,13.90795,9.634346
E01010816,16.26124,22.59806,12.41203,8.427506
E01010817,17.77355,25.15417,13.02908,8.801808
E01010818,19.53231,27.96034,13.77705,9.089938
E01010819,15.88659,22.05534,12.43834,8.566122
E01010820,16.70982,23.36039,12.89886,8.855793
E01010821,16.70982,23.36039,12.89886,8.855793
E01010822,20.02268,29.01816,13.90795,9.634346
E01010824,16.34062,22.68766,13.23538,9.077589
E01010825,17.17053,24.15811,13.73627,9.444062
E01010826,17.10436,23.99666,13.65108,9.562812
E01010827,17.10436,23.99666,13.65108,9.562812
E01010828,18.20965,25.76177,13.94261,9.736476
E01010829,18.20965,25.76177,13.94261,9.736476
E01010830,19.9274,28.65358,13.7559,9.361098
E01010831,18.20965,25.76177,13.94261,9.736476
E01010832,18.20965,25.76177,13.94261,9.736476
E01010833,17.97316,25.53573,13.15877,9.088804
E01010834,18.64179,26.63014,13.15189,9.059284
E01010835,16.58901,23.18405,13.59395,9.366131
E01010836,18.64179,26.63014,13.15189,9.059284
E01010837,16.58901,23.18405,13.59395,9.366131
E01010838,16.58901,23.18405,13.59395,9.366131
E01010839,16.56007,23.10561,13.86487,9.81331
E01010840,16.99669,23.84586,13.83558,9.665033
E01010841,17.98631,25.43369,13.23538,9.077589
E01010842,20.91853,30.58067,13.15877,8.975806
E01010843,17.97316,25.53573,13.24495,9.114183
E01010845,14.60316,20.00186,12.50708,8.646935
E01010846,14.13638,19.28479,12.6408,8.830769
E01010847,15.49404,21.41544,13.10287,9.226849
E01010848,15.49404,21.41544,13.10287,9.226849
E01010849,16.48783,23.05637,12.76529,8.913569
E01010850,14.60316,20.00186,12.50708,8.646935
E01010851,14.60316,20.00186,12.50708,8.646935
E01010852,18.87288,26.83886,14.57089,10.21045
E01010853,15.49404,21.41544,13.10287,9.226849
E01010854,8.468114,10.95971,10.04783,6.869968
E01010855,6.454219,8.211267,8.911074,6.145939
E01010856,8.468114,10.95745,10.04783,6.914459
E01010857,7.22749,9.256331,9.335033,6.38581
E01010858,7.229345,9.25948,9.113285,6.278331
E01010859,8.797042999999999,11.41541,10.288895,7.1777815
E01010860,7.4229,9.520894,9.383328,6.46312
E01010861,8.675235,11.23709,10.14056,6.869968
E01010862,7.120833,9.108491,9.12371,6.330579
E01010863,8.195006,10.57909,9.642978,6.681428
E01010864,14.60316,20.00186,12.50708,8.646935
E01010865,19.561889999999998,28.47862,12.92468,9.021544
E01010866,16.81559,23.63859,12.51378,8.552896
E01010867,13.26417,17.96926,11.85944,8.115413
E01010868,15.47949,21.40215,12.49908,8.654351
E01010869,15.47949,21.40215,12.49908,8.654351
E01010870,15.47949,21.40215,12.48331,8.530853
E01010871,15.47949,21.40215,12.49908,8.654351
E01010872,15.15719,20.83555,12.48331,8.530853
E01010873,15.15719,20.83555,12.48331,8.530853
E01010874,14.60316,20.00186,12.50708,8.646935
E01033689,17.19898,24.09378,12.57611,8.603889
E01033690,22.22303,32.58718,13.83819,9.278991
E01033691,20.91853,30.58067,13.15877,8.975806
E01033692,22.22303,32.58718,13.83819,9.278991
E01033693,19.9274,28.65358,13.7559,9.361098
E01033694,17.19898,24.09378,12.57611,8.603889
E01033695,13.26177,17.92634,12.48003,8.599561
E01033696,13.26177,17.92634,12.48003,8.599561
E01033697,16.58901,23.18405,13.59395,9.366131
